71, Q, 4, 56
29, a, 1, 69
1, Y, 37, 40
71, E, 36, 45
53, h, 67, 76
71, n, 29, 27
44, e, 7, 61
12, V, 40, 1
94, D, 69, 24
59, K, 21, 93
33, B, 63, 20
99, o, 19, 99
4, t, 5, 85
72, O, 89, 26
32, h, 70, 69
93, L, 66, 84
90, D, 56, 77
19, Z, 56, 31
26, G, 59, 6
89, U, 89, 27
24, p, 59, 20
76, n, 0, 20
31, l, 80, 47
73, i, 63, 80
9, Z, 88, 73
61, U, 81, 76
90, C, 12, 51
0, K, 8, 36
71, U, 80, 56
3, a, 14, 69
88, X, 66, 85
10, E, 76, 83
37, t, 71, 25
8, T, 55, 13
87, b, 7, 71
39, g, 31, 68
73, Z, 12, 27
17, o, 82, 15
30, M, 13, 31
86, B, 64, 6
89, U, 62, 99
91, T, 25, 48
89, L, 82, 99
3, X, 56, 18
90, r, 45, 82
91, f, 1, 49
17, x, 47, 59
31, v, 86, 43
98, a, 97, 33
22, X, 39, 47
83, Y, 42, 33
52, c, 73, 93
67, K, 44, 65
55, r, 90, 82
80, j, 45, 58
14, D, 51, 94
24, h, 86, 53
14, N, 54, 36
78, u, 61, 4
59, v, 11, 90
21, W, 85, 60
12, W, 4, 76
56, V, 63, 22
65, s, 9, 48
53, j, 96, 99
84, k, 28, 4
48, q, 71, 91
53, h, 8, 22
21, g, 90, 77
90, g, 4, 28
22, M, 29, 59
95, B, 63, 41
6, u, 61, 60
63, d, 72, 67
68, h, 29, 30
60, v, 88, 42
38, b, 76, 12
99, I, 5, 69
56, R, 8, 18
63, X, 98, 67
72, s, 55, 82
28, W, 18, 30
38, Q, 16, 39
55, O, 62, 52
15, M, 67, 98
18, t, 24, 7
92, l, 97, 94
80, p, 52, 38
41, m, 57, 19
24, W, 31, 26
0, V, 28, 82
40, Z, 47, 84
1, r, 83, 81
32, p, 26, 73
0, I, 4, 86
22, N, 26, 70
0, c, 44, 32
98, a, 98, 33
63, h, 1, 45
24, v, 65, 7
31, C, 89, 34
87, I, 43, 17
13, z, 38, 51
14, e, 99, 54
15, r, 98, 54
6, V, 1, 59
31, P, 23, 64
93, S, 39, 82
30, e, 4, 67
73, z, 94, 67
47, F, 81, 64
16, u, 52, 67
84, S, 57, 71
25, r, 50, 65
77, c, 46, 4
55, F, 33, 99
1, c, 8, 56
76, O, 87, 16
43, x, 53, 48
14, k, 55, 85
54, s, 5, 66
21, h, 3, 64
15, B, 70, 24
68, T, 98, 62
28, Y, 64, 29
24, q, 53, 80
39, c, 39, 51
97, e, 6, 29
24, f, 12, 41
97, e, 35, 68
74, n, 64, 14
8, m, 24, 6
59, a, 20, 6
48, m, 38, 6
63, V, 75, 39
60, A, 95, 69
66, i, 16, 31
13, k, 12, 45
20, M, 26, 1
46, C, 1, 18
94, V, 98, 3
51, X, 32, 96
39, K, 81, 4
5, p, 52, 43
27, N, 83, 59
30, L, 95, 57
70, M, 13, 24
53, Q, 82, 87
44, I, 20, 73
99, K, 0, 27
